able	capaz
bad	ruim
beautiful	lindo
big	grande
bullheaded	teimoso
careful	cuidadoso
cheap	barato
clever	esperto
cute	fofo
dangerous	perigoso
delicious	delicioso
different	diferente
difficult	difícil
dry	seco
dumb	burro
early	cedo
expensive	caro
famous	famoso
far	longe
fast	rápido
fertile	fértil
fetid	fétido
few	pouco, algum(ns, a, as)
first	primeiro
fresh	fresco
friendly	amistoso
golden	dourado
good	bom
great	grande, ótimo
heavy	pesado
high	alto
hot	quente
huge	enorme
important	importante
large	largo
last	último(a)
Less	menos
light	leve
little	pequeno
long	longo
lousy	piolhento
merciful	misericordioso
new	novo
next	próximo
nice	legal
old	velho(a)
other	outro(a, os, as)
own	próprio
peaceful	pacífico
pretty	bonito
public	público(a,os,as)
right	certo
same	mesmo
short	baixo
simple	simples
small	pequeno
sweet	doce
tall	alto
thin	fino
young	jovem
