ant	formiga
bear	urso
bee	abelha
bird	pássaro
butterfly	borboleta
camel	camelo
cat	gato
cattle	gado
cock	galo
cow	vaca
crow	corvo
deer	cervo
dinosaur	dinossauro
dog	cão
dolphin	golfinho
donkey	burro
duck	pato
fish	peixe
fowl	ave
fox	raposa
frog	sapo
gazelle	gazela
giraffe	girafa
goat	cabra
goose	ganso
gull	gaivota
hedgehog	ouriço
hen	galinha
horse	cavalo
human	humano
hyena	hiena
koala	Koala
monkey	macaco
mosquitos	mosquito
mouse	rato
ostrich	avestruz
owl	mocho
parrot	papagaio
peacock	pavão
penguin	pinguim
rabbit	coelho
rhino	rinoceronte
scorpion	escorpião
seal	foca
sheep	ovelha
snake	cobra
sparrow	pardal
spider	aranha
squirrel	esquilo
swan	cisne
tiger	tigre
turtle	tartaruga
turtle	tartaruga
wolf	lobo
wos	verme
