Afghanistan	Afeganistão
Algeria	Argélia
Algeria	Argélia
America	América
Amman	Amã
Antarctica	Antártida
Argentina	Argentina
Australia	Austrália
Austria	Áustria
Babylon	Babilónia
Bangladesh	Bangladesh
Belarus	Bielorrússia
Bolivia	Bolívia
Brazil	Brasil
Canada	Canadá
Chile	Chile
China	China
Colombia	Colombia
Cuba	Cuba
Denmark	Dinamarca
Ecuador	Equador
Egypt*	Egito
England	Inglaterra
Ethiopia	Etiópia
Finland	Finlândia
France	França
Germany	Alemanha
Great Britain	Grã Bretanha
Greece	Grécia
Greenland	Groenlândia
Guatemala	Guatemala
Guyana	Guiana
Holland	Holanda
Hungary	Hungria
India	Índia
Indonesia	Indonésia
Iran	Irã
Iraq	Iraque
Ireland	Irlanda
Israel	Israel
Israel	Israel
Italy	Itália
Italy	Itália
Jamaica	Jamaica
Japan	Japão
Kenya	Quénia
Kuwait	Koweit
Lebanon	Líbano
Libya	Líbia
Madagascar	Madagascar
Malaysia	Malásia
Mecca	Meca
Mexico	México
Mongolia	Mongólia
Mongolia	Mongólia
Morocco	Marrocos
Moscow	Moscou
Myanmar	Mianmar
Nepal	Nepal
New Zealand	Nova Zelândia
Nigeria	Nigéria
North Korea	Coreia do Norte
North	Norte
Norway	Noruega
Norway	Noruega
Oman	Omã
Oman	Omã
Pakistan	Paquistão
Papua New Guinea	Papua Nova Guiné
Paraguay	Paraguai
Peru	Peru
Philippines	Filipinas
Poland	Polônia
Poland	Polônia
Portugal	Portugal
Puerto Rico	Porto Rico
Romania	Romênia
Russia	Rússia
Saudi Arabia	Arábia Saudita
Scotland	Escócia
Somalia	Somália
South Africa	África do Sul
South Korea	Coreia do Sul
Spain	Espanha
Sri Lanka	Sri Lanka
Sudan	Sudão
Suriname	Suriname
Sweden	Suécia
Switzerland	Suíça
Syria	Síria
Taiwan	Taiwan
Thailand	Tailândia
Tunisia	Tunísia
Turkey	Turquia
Ukraine	Ucrânia
United Kingdom	Reino Unido
United States of America	Estados Unidos da América
Uruguay	Uruguai
Uzbekistan	Uzbequistão
Venezuela	Venezuela
Vietnam	Vietnã
Wales	País de Gales
Yemen	Iémen
