bread	pão
butter	manteiga
cafe	café
cake	bolo
cucumber	pepino
food	comida
garlic	alho
jam	marmelada
juice	sumo
lemon	limão
melon	melão
milk	leite
mushrooms	cogumelos
olives	azeitonas
onion	cebola
orange	laranja
pepper	pimenta
radish	rábano
rice	arroz
salad	salada
rye	centeio
shah	xá
soup	sopa
sugar	açucar
water	água
vodka	vodka
vinegar	vinagre
beer	cerveja
cauliflower	couve-flôr
tomato	tomate
cheese	queijo
tea	chá
coffee	café
cucumber	pepino
cream	creme
wheat	trigo
banana	banana
corn	milho
fig	figo
flour	farinha
fruit	fruta
honey	mel
pineapple	ananáz
plum	ameixa
strawberry	morango
dessert	sobremesa

