greetings	saudações

Hi Ma'am.	Oi senhora.
Hello Sir.	Olá senhor.	
Hello Madam.	Olá senhora.
Good Morming Mr.	Bom dia senhor.
Good afternoon Mrs.	Boa tarde Sra.
Good evening Ms.	Boa noite senhorita.
What's your name?	Qual o seu nome?
My name's Elmar.	Meu nome é Elmar.
I'm Elmar.	Eu sou Elmar.
Nice to meet you.	Prazer em conhecê-lo
Nice to meet you too.	Prazer em conhecer também.
Pleased to meet you.	Prazer em conhecê-lo.
Glad to meet you.	Prazer em te conhecer.
How are you?	Como vai você?
How about you?	Como vai você?
What about you?	Como vai você?
Is everythink well?	Está tudo bem?
What's up?	Como vai você?, E aí?
How have you been?	Como você tem estado?
I’m fine.	Estou bem.
I am very well.	Estou muito bem.
I'm ok.	Estou bem.
Yeah, I'm great.	Sim, estou ótimo.
Everything's good.	Tudo ótimo.
Nice!	Legal!
Pretty good!	Muito bom!
So so. 	Mais ou menos.
Nothing much.	Praticamente nada.
Not very good.	Não muito bem.
I'm not feeling well.	Eu não estou me sentindo bem.
I'm not ok.	Eu não estou bem.
I am fine. And you?	Estou bem. E você?
Goodbye	Adeus
Bye-bye	tchau-tchau
Bye	tchau
See you soon	Vejo você em breve.
See you next time	Vejo você na próxima vez.
See you	adeus
Have a good day	Tenha um bom dia.
Have a good night	Tenha uma boa noite.
Good night	Boa noite.
Take care	Se cuide.
So long 	Adeus.
Farewell.	Até a próxima.
I look forward to seeing you again.	Estou ansioso para ver você novamente.
I look forward to talking to you again.	Estou ansioso para falar com você novamente.

