African	africano
American	americano
Asian	asiático
Asian	asiático
Australian	australiano
Brazilian	brasileiro
British	britânico
Canadian	canadense
Chinese	chinês
Egyptian*	egípicio
English	inglês
French	francês
German	alemão
Greek	grego
Indian	indiano
Irish	irlandês
Italian	italiano
Japanese	japonês
Jordanian	jordão
Mexican	mexicano
Nigerian	nigeriano
Ottoman	otomano
Portuguese	português
Roman	Romano
Russian	russo
South Korean	sul coreano
Spanish	espanhol
Swedish	sueco
Swiss	suiço
Turkish	turco
