break down	parar de funcionar
break up	separar, romper
bring back	trazer de volta
bring in	apresentar
bring up	trazer, criar
call back	ligar de volta
call off	cancelar
carry out	executar
check in	check in
check out	check out
do away with	para, livrar de algo
do over	fazer de novo
do without	ficar sem
do with	ter a ver
drop off	deixar
find out	descobrir
get along	ter bom relacionamento
get by	sobreviver com limitados recursos
get over	recuperar de
get up	levantar
give up	terminar
go on	continuar
go out	socializar
go over	revisar
hold on	esperar
let down	desapontado
look after	cuidar de
look for	procurar por
look forward to	esperar por ou antecipar
look into	investigar
look out	ser cauteloso
look up	procurar por
make do	se virar com o que tem
make out	distinguir
make over	transformar; remodelar
make up	fazer as pazes; botar maquiagem
make up for	compensar
Modesty aside	modéstia à parte
Once upon a time	Era uma vez
pick up	coletar
piece of cake	muito fácil
point out	indicar
put off	adiar
put on	vestir
run away	
run into	encontrar alguém inesperadamente
run out of	acabar
set up	estabelecer
show up	aparecer
take in	compreender
take off	decolar, ter sucesso
take off	remover
take out	desfazer, colocar para fora
turn down	rejeitar
turn in	submeter
turn off	desligar
turn on	ligar
turn up	aumentar o volume, chegar
wake up	acordar
